lat,lon
43.9,-69.9333
42.47,-71.2894
40.0167,-74.6
41.3275,-72.0494
42.9333,-71.4383
40.1936,-76.7633
40.3667,-75.9667
44.05,-75.7333
43.2333,-75.4
40.8436,-72.6322
40.7794,-73.8803
42.9486,-78.7369
40.6825,-74.1694
42.7431,-73.8092
40.2964,-78.3203
40.6508,-75.4492
42.3606,-71.0106
41.9381,-72.6825
44.4683,-73.15
44.5772,-75.1097
43.1953,-71.5011
42.4933,-79.2722
42.1594,-76.8919
43.35,-73.6167
40.2172,-76.8514
41.7361,-72.6506
42.2122,-71.1136
41.1386,-75.2225
44.2667,-71.2994
41.2531,-70.0608
41.6267,-73.8842
41.2639,-72.8872
40.9167,-78.0667
40.3547,-79.9217
42.4272,-73.2892
43.6497,-70.3003
41.7219,-71.4325
43.1167,-77.6767
40.8206,-76.8642
43.1111,-76.1039
42.1578,-72.7161
41.3336,-75.7269
41.2433,-76.9217
41.5333,-71.2833
42.15,-70.9333
40.2769,-74.8158
40.2,-75.15
41.3497,-71.7989
42.6083,-82.8183
40.3131,-88.1594
41.0375,-81.4642
45.0606,-83.4281
42.3075,-85.2511
44.2656,-85.3967
41.7861,-87.7522
41.4131,-81.86
39.9914,-82.8808
42.4092,-83.01
45.7181,-87.0939
41.0136,-83.6686
42.9667,-83.7494
40.9706,-85.2064
43.9758,-84.4908
41.5272,-85.7922
42.2667,-84.4667
40.4122,-86.9369
42.7803,-84.5789
43.1406,-89.3453
46.5458,-87.3794
42.955,-87.9044
43.1711,-86.2367
45.5644,-84.7928
40.6675,-89.6839
43.5331,-84.0797
41.45,-82.7167
46.4794,-84.3572
41.7072,-86.3164
44.7408,-85.5825
41.2544,-80.6739
42.2333,-83.5333
42.0833,-87.8333
47.1686,-88.4889
46.6667,-85.95
42.08,-80.1825
42.4167,-87.8667
40.8203,-82.5178
41.7833,-87.6
40.1764,-80.6472
40.9167,-81.4333
44.9258,-89.6256
44.4983,-88.1111
45.8678,-95.3942
48.1069,-98.8681
46.8369,-92.2097
46.9253,-96.8111
47.9428,-97.1839
48.5614,-93.3981
46.9258,-98.6692
43.8789,-91.2528
43.2119,-90.1814
44.8831,-93.2289
41.4653,-90.5233
48.9711,-97.2417
43.9042,-92.4917
45.5433,-94.0514
44.9319,-93.0556
45.4558,-98.4131
40.7833,-91.1253
41.5339,-93.6531
40.9611,-98.3136
44.3981,-98.2231
41.6328,-91.5431
40.0972,-92.5433
40.8508,-96.7475
43.1544,-93.3269
41.9856,-97.4353
41.3103,-95.8992
42.3914,-96.3792
43.5878,-96.7289
40.4344,-95.3883
44.9047,-97.1494
41.1167,-95.9167
41.1078,-92.4467
40.8233,-96.7025
43.1644,-95.2017
41.8833,-91.7167
44.8664,-91.4878
44.5483,-95.0803
45.7728,-92.6886
19.7192,-155.0531
19.7356,-156.0489
19.5353,-155.5761
19.645,-155.0828
29.3667,-100.7833
29.3783,-100.9269
29.3483,-103.2092
22.0333,-159.7833
21.3167,-158.0667
20.8997,-156.4286
21.45,-157.7833
21.3239,-157.9294
21.1544,-157.0961
21.9839,-159.3405
21.3167,-158.0667
32.85,-106.1
34.4272,-100.2831
34.3833,-103.3167
33.3075,-104.5083
31.9433,-102.1889
31.3711,-100.4922
39.7167,-104.75
31.78,-103.2017
32.2442,-101.4536
33.6542,-101.8136
31.8111,-106.3758
35.2333,-101.7089
35.1822,-103.6031
35.6169,-106.0889
35.0419,-106.6156
36.4486,-103.1539
36.7414,-104.5022
35.6542,-105.1419
31.8311,-104.8089
31.8297,-107.6389
37.4389,-105.8614
39.7633,-104.8694
39.65,-106.9167
37.9272,-100.7247
39.3669,-101.7
39.1342,-108.54
38.0494,-103.5122
37.2622,-104.3378
34.9325,-100.8903
32.2622,-107.7206
35.5144,-108.7939
36.7436,-108.2292
30.9119,-102.9167
32.1667,-110.8833
36.3333,-119.95
36.25,-115.0333
33.9,-117.25
33.8117,-118.1464
34.2097,-118.4892
34.2167,-119.0833
34.2006,-118.3575
38.0511,-117.0903
39.2953,-114.8467
35.4344,-119.0542
33.9286,-116.9814
37.3711,-118.3581
33.6186,-114.7142
37.7064,-112.1456
32.1314,-110.9553
34.8536,-116.7858
39.3375,-112.5858
36.0719,-115.1633
38.3706,-110.7153
33.9381,-118.3889
38.4167,-113.0167
37.7981,-113.9256
34.7675,-114.6189
34.6294,-118.0836
33.4278,-112.0039
34.6517,-112.4208
39.4839,-119.7711
34.7436,-118.7242
32.7336,-117.1831
34.4258,-119.8425
33.405,-118.4158
35.0281,-110.7208
32.6667,-114.6
32.8167,-115.6833
38.2667,-121.9333
38.5039,-122.8103
39.2775,-120.7103
37.7214,-122.2208
38.5069,-121.495
36.6636,-121.6081
37.6197,-122.3647
37.8892,-121.2258
37.7333,-122.3167
37.4058,-122.0481
37.9917,-122.055
37.2847,-120.5128
37.6242,-120.9506
36.5881,-121.8453
38.5556,-121.4169
37.7706,-122.4269
34.8994,-120.4486
39.1258,-123.2008
36.9358,-121.7886
37.6928,-121.8144
37.3592,-121.9239
31.79,-86.0003
31.8814,-87.7367
34.8222,-89.4347
35.82,-91.7811
28.3044,-96.8231
30.6222,-98.0847
37.4278,-94.5828
37.6344,-91.7225
44.15,-103.1
46.7708,-100.7603
46.7994,-102.7972
